h_dormir,h_alimentarse,h_cuipersonal,h_estudio,h_domesticas,h_ocio,h_medico,sexo,edad,educ_in,anio_ed,publ,trabaja_rem,hijos,celular,log_ing,AFAM_h,aniosed_h,act,inact,servdom_pag,tv,tv_abon,compu,disc_h,mdeo
9,1,.3333333432674408,0,1,0,2,0,26,1,5,1,1,1,1,10.88784899750652,1,10,0,3,0,1,1,1,0,0
10,1.5,.6666666865348816,0,.5,4,0,1,17,1,4,1,0,0,1,10.47051750181118,1,12,2,1,0,1,1,1,0,1
10,1,.6666666865348816,0,.5,5,0,1,14,1,2,1,0,0,1,10.47051750181118,1,12,2,1,0,1,1,1,0,1
8,.5,1,8,1.5,4,0,0,20,1,5,1,0,0,1,10.65416374492277,0,9.75,3,1,0,1,1,1,0,1
4,.5,.5,10,0,0,0,0,19,1,4,1,0,0,1,10.65416374492277,0,9.75,3,1,0,1,1,1,0,1
6,1,.25,2,1,0,0,0,27,1,5,1,1,0,1,10.23573719607007,0,7,2,2,0,1,1,0,0,0
8,.25,.5,4,0,0,0,0,16,1,1,1,0,0,1,10.64487712821981,1,9,2,6,0,1,1,1,0,1
8,.25,.5,4,0,0,0,0,14,1,1,1,0,0,0,10.64487712821981,1,9,2,6,0,1,1,1,0,1
6,.3333333432674408,1,0,0,1,0,0,17,1,1,1,0,0,1,10.81347491939361,1,6,1,4,0,1,1,1,0,0
6,2,1,3,0,0,0,1,19,1,4,1,1,0,1,10.98914011443596,1,9.142857142857142,3,5,0,1,0,1,0,0
10,1.333333373069763,.5,0,0,2,0,1,20,1,3,0,1,0,1,10.46310334047155,0,7.666666666666667,2,6,0,1,0,1,0,0
9,.6666666865348816,.6666666865348816,7,1,1,0,0,16,1,3,0,0,0,1,10.46310334047155,0,7.666666666666667,2,6,0,1,0,1,0,0
8,.6666666865348816,1,7,0,1.5,0,0,14,1,1,0,0,0,0,10.46310334047155,0,7.666666666666667,2,6,0,1,0,1,0,0
6,.6666666865348816,1.166666626930237,4.5,0,2,0,0,15,1,2,0,0,0,0,11.37565727061918,0,16,2,1,1,1,0,1,0,1
10,1,1,2,0,5,0,0,14,1,1,1,0,0,1,10.00730462770224,1,10,1,1,0,1,1,1,0,0
8,2,1,3,2,0,0,0,14,1,2,1,0,0,0,10.6674216609677,0,10,1,4,0,1,0,0,0,1
8,2,1,6,0,4,0,1,17,1,2,1,0,0,0,11.01020326913625,1,7,4,6,0,1,0,1,1,1
14,.5,.5,4,1,0,0,1,16,1,4,1,0,0,0,9.815755896697873,1,9,1,3,0,1,0,1,0,0
8,1,.5,3,0,0,4,0,20,1,3,1,0,0,1,10.83487298404101,0,6.333333333333333,1,2,0,1,1,1,0,1
12,1.5,1,0,0,5,0,1,17,1,4,1,0,0,1,10.59498587447552,1,11.33333333333333,2,3,0,1,1,1,0,1
6,1.5,1,0,1,1,0,0,41,0,5,1,1,1,1,9.933403087257579,0,11,0,1,0,1,0,0,0,0
10,2,1.25,2,.5,1,0,0,18,1,3,1,0,0,0,10.22252423459786,1,9,3,2,0,0,0,1,1,0
8,1.25,1,1.5,1.25,0,0,0,16,1,1,1,0,0,0,10.22252423459786,1,9,3,2,0,0,0,1,1,0
8,1.5,1.75,3.5,.75,1.5,0,0,14,1,1,1,0,0,0,10.22252423459786,1,9,3,2,0,0,0,1,1,0
8,1,.5,6,0,5,0,1,18,1,4,1,0,0,1,10.86066722068989,0,9,1,1,0,1,1,1,0,1
2,0,1,0,.5,3,0,0,15,1,1,1,0,0,1,10.67419860175443,0,8.666666666666666,2,2,0,1,1,1,0,0
7,1,.5,5.5,0,0,0,0,15,1,1,1,0,0,0,10.38786676165642,1,5.5,3,3,0,1,1,1,1,0
10,.9833333492279053,1,1.5,0,1.5,0,1,17,1,2,1,0,0,1,10.08431895692296,1,8,1,3,0,1,0,1,0,0
10,1,.5,6,2,2,0,1,14,1,1,1,0,0,0,10.82975396147689,0,2.333333333333334,1,3,0,1,0,1,0,1
